filename	total_features	plantmasst_features	percentage	Sample_type	MS_type	PERIOD	TREAT	wet_weight	SampleID	diet
Sep2023_conjBA_BeefDiet_129_L1-26.mzML	80529475.98251	15474591.224835997	19.216058512782183	L1-26	MS1_pos	DP3	MED0.5	24.4	207.0	Mediterranean
Sep2023_conjBA_BeefDiet_162_L1-21.mzML	173268293.432484	70126506.65259	40.47278660357765	L1-21	MS1_pos	DP3	MED5.5	25.0	206.0	Mediterranean
Sep2023_conjBA_BeefDiet_156_L1-52.mzML	263745184.440166	87846864.02004	33.30747600435116	L1-52	MS1_pos	DP4	MED2.5	23.4	212.0	Mediterranean
Sep2023_conjBA_BeefDiet_152_L1-73.mzML	131808586.978341	21631419.52685	16.411236948018047	L1-73	MS1_pos	DP4	MED2.5	25.1	217.0	Mediterranean
Sep2023_conjBA_BeefDiet_153_L1-71.mzML	220749494.20995802	51211940.732039995	23.199120303909545	L1-71	MS1_pos	DP2	MED5.5	24.8	217.0	Mediterranean
Sep2023_conjBA_BeefDiet_150_L1-62.mzML	181591574.055615	34757890.02714	19.140695380775156	L1-62	MS1_pos	DP3	MED2.5	25.1	215.0	Mediterranean
Sep2023_conjBA_BeefDiet_159_L1-83.mzML	101808513.132288	16907838.444604	16.60748981043882	L1-83	MS1_pos	DP4	MED2.5	23.3	219.0	Mediterranean
Sep2023_conjBA_BeefDiet_146_L1-137.mzML	681106767.4011071	103359590.98212498	15.175240642008777	L1-137	MS1_pos	DP2	MED5.5	26.2	234.0	Mediterranean
Sep2023_conjBA_BeefDiet_158_L1-39.mzML	103102034.12501499	31696672.151309997	30.743013385047885	L1-39	MS1_pos	DP1	MED2.5	26.2	210.0	Mediterranean
Sep2023_conjBA_BeefDiet_116_L1-103.mzML	263110540.678372	100481244.70839001	38.189745058986034	L1-103	MS1_pos	DP3	MED2.5	27.1	225.0	Mediterranean
Sep2023_conjBA_BeefDiet_161_L1-2.mzML	96668016.144779	20794004.509452	21.510738855247602	L1-2	MS1_pos	DP1	MED0.5	25.1	201.0	Mediterranean
Sep2023_conjBA_BeefDiet_155_L1-115.mzML	140618727.058066	36767241.54344	26.14676033033468	L1-115	MS1_pos	DP2	MED2.5	25.7	228.0	Mediterranean
Sep2023_conjBA_BeefDiet_142_L1-7.mzML	130133789.44069701	21217338.35427	16.304249991843133	L1-7	MS1_pos	DP1	MED2.5	28.0	202.0	Mediterranean
Sep2023_conjBA_BeefDiet_138_L1-61.mzML	146147014.53173602	32372537.95235	22.15066661202324	L1-61	MS1_pos	DP2	MED0.5	26.2	215.0	Mediterranean
Sep2023_conjBA_BeefDiet_128_L1-126.mzML	207205990.22241798	42955530.954705	20.73083452297682	L1-126	MS1_pos	DP3	MED5.5	25.9	230.0	Mediterranean
Sep2023_conjBA_BeefDiet_141_L1-119.mzML	148756980.137761	39923316.6337	26.837945081116715	L1-119	MS1_pos	DP1	MED0.5	26.5	229.0	Mediterranean
Sep2023_conjBA_BeefDiet_091_L1-66.mzML	242104992.447236	74499806.47697599	30.77169360446475	L1-66	MS1_pos	DP2	MED2.5	27.7	216.0	Mediterranean
Sep2023_conjBA_BeefDiet_136_L1-35.mzML	203698154.231427	59583936.87942	29.25109316981099	L1-35	MS1_pos	DP2	MED0.5	25.3	209.0	Mediterranean
Sep2023_conjBA_BeefDiet_121_L1-122.mzML	120552695.186213	35193023.189789996	29.19306211729959	L1-122	MS1_pos	DP4	MED2.5	25.4	229.0	Mediterranean
Sep2023_conjBA_BeefDiet_127_L1-27.mzML	103373823.352546	20003338.429324	19.350487174209114	L1-27	MS1_pos	DP4	MED2.5	24.6	207.0	Mediterranean
Sep2023_conjBA_BeefDiet_154_L1-24.mzML	105721933.79754099	21589410.559490003	20.420938005952515	L1-24	MS1_pos	DP1	MED5.5	24.7	207.0	Mediterranean
Sep2023_conjBA_BeefDiet_102_L1-141.mzML	113741385.30402601	24653302.080485	21.674874114279287	L1-141	MS1_pos	DP1	MED0.5	26.9	235.0	Mediterranean
