filename	total_features	plantmasst_features	percentage	Sample_type	MS_type	PERIOD	TREAT	wet_weight	SampleID	diet
Sep2023_conjBA_BeefDiet_129_L1-26.mzML	80529475.98251	647906.2584	0.8045578969627435	L1-26	MS1_pos	DP3	MED0.5	24.4	207.0	Mediterranean
Sep2023_conjBA_BeefDiet_162_L1-21.mzML	173268293.432484	687856.5933599999	0.3969893046981681	L1-21	MS1_pos	DP3	MED5.5	25.0	206.0	Mediterranean
Sep2023_conjBA_BeefDiet_118_L1-92.mzML	5820226698.21348	5445394.8107	0.0935598404160351	L1-92	MS1_pos	DP1	MED5.5	25.1	223.0	Mediterranean
Sep2023_conjBA_BeefDiet_156_L1-52.mzML	263745184.440166	824868.77464	0.31275216508346604	L1-52	MS1_pos	DP4	MED2.5	23.4	212.0	Mediterranean
Sep2023_conjBA_BeefDiet_152_L1-73.mzML	131808586.978341	676820.49448	0.5134874062425206	L1-73	MS1_pos	DP4	MED2.5	25.1	217.0	Mediterranean
Sep2023_conjBA_BeefDiet_153_L1-71.mzML	220749494.20995802	964589.4098750001	0.4369610962540033	L1-71	MS1_pos	DP2	MED5.5	24.8	217.0	Mediterranean
Sep2023_conjBA_BeefDiet_150_L1-62.mzML	181591574.055615	626986.82862	0.34527308432712656	L1-62	MS1_pos	DP3	MED2.5	25.1	215.0	Mediterranean
Sep2023_conjBA_BeefDiet_159_L1-83.mzML	101808513.132288	607616.4671	0.5968228475259972	L1-83	MS1_pos	DP4	MED2.5	23.3	219.0	Mediterranean
Sep2023_conjBA_BeefDiet_146_L1-137.mzML	681106767.4011071	1944249.74305	0.2854544744091526	L1-137	MS1_pos	DP2	MED5.5	26.2	234.0	Mediterranean
Sep2023_conjBA_BeefDiet_158_L1-39.mzML	103102034.12501499	529669.2791599999	0.5137331029936388	L1-39	MS1_pos	DP1	MED2.5	26.2	210.0	Mediterranean
Sep2023_conjBA_BeefDiet_116_L1-103.mzML	263110540.678372	1246349.66165	0.47369811123361477	L1-103	MS1_pos	DP3	MED2.5	27.1	225.0	Mediterranean
Sep2023_conjBA_BeefDiet_161_L1-2.mzML	96668016.144779	632787.28112	0.6545983939220177	L1-2	MS1_pos	DP1	MED0.5	25.1	201.0	Mediterranean
Sep2023_conjBA_BeefDiet_155_L1-115.mzML	140618727.058066	588278.3278300001	0.4183499169261296	L1-115	MS1_pos	DP2	MED2.5	25.7	228.0	Mediterranean
Sep2023_conjBA_BeefDiet_142_L1-7.mzML	130133789.44069701	459372.1257000001	0.3529998839458522	L1-7	MS1_pos	DP1	MED2.5	28.0	202.0	Mediterranean
Sep2023_conjBA_BeefDiet_138_L1-61.mzML	146147014.53173602	782566.17144	0.535465041107675	L1-61	MS1_pos	DP2	MED0.5	26.2	215.0	Mediterranean
Sep2023_conjBA_BeefDiet_128_L1-126.mzML	207205990.22241798	413754.39187000005	0.19968264017168133	L1-126	MS1_pos	DP3	MED5.5	25.9	230.0	Mediterranean
Sep2023_conjBA_BeefDiet_141_L1-119.mzML	148756980.137761	736287.7978000002	0.49496016732669496	L1-119	MS1_pos	DP1	MED0.5	26.5	229.0	Mediterranean
Sep2023_conjBA_BeefDiet_091_L1-66.mzML	242104992.447236	750156.2422399999	0.30984748999072703	L1-66	MS1_pos	DP2	MED2.5	27.7	216.0	Mediterranean
Sep2023_conjBA_BeefDiet_136_L1-35.mzML	203698154.231427	1280751.77765	0.6287498197921338	L1-35	MS1_pos	DP2	MED0.5	25.3	209.0	Mediterranean
Sep2023_conjBA_BeefDiet_121_L1-122.mzML	120552695.186213	407401.40179000003	0.33794466491247094	L1-122	MS1_pos	DP4	MED2.5	25.4	229.0	Mediterranean
Sep2023_conjBA_BeefDiet_127_L1-27.mzML	103373823.352546	833079.93711	0.8058906114644372	L1-27	MS1_pos	DP4	MED2.5	24.6	207.0	Mediterranean
Sep2023_conjBA_BeefDiet_154_L1-24.mzML	105721933.79754099	773041.3286	0.7312024107318971	L1-24	MS1_pos	DP1	MED5.5	24.7	207.0	Mediterranean
Sep2023_conjBA_BeefDiet_102_L1-141.mzML	113741385.30402601	528635.90377	0.4647700591627033	L1-141	MS1_pos	DP1	MED0.5	26.9	235.0	Mediterranean
Sep2023_conjBA_BeefDiet_089_L1-40.mzML	119776545.897066	862386.1472	0.7199958395369996	L1-40	MS1_pos	DP2	MED0.5	26.0	210.0	Mediterranean
