filename	total_features	plantmasst_features	percentage	Sample_type	MS_type	PERIOD	TREAT	wet_weight	SampleID	diet
Sep2023_conjBA_BeefDiet_030_L1-75.mzML	258706076.152534	2328101.410485	0.8999020993663648	L1-75	MS1_pos	DP1	MED2.5	25.5	218.0	Mediterranean
Sep2023_conjBA_BeefDiet_029_L1-96.mzML	333096780.72018	4971389.469745	1.4924759882087382	L1-96	MS1_pos	DP1	MED0.5	26.4	224.0	Mediterranean
Sep2023_conjBA_BeefDiet_040_L1-90.mzML	152280782.29576802	2502603.4133800003	1.6434138146987636	L1-90	MS1_pos	DP4	MED5.5	26.5	222.0	Mediterranean
Sep2023_conjBA_BeefDiet_044_L1-32.mzML	168895260.34412003	3687051.2896	2.183040117341198	L1-32	MS1_pos	DP4	MED0.5	25.4	208.0	Mediterranean
Sep2023_conjBA_BeefDiet_028_L1-117.mzML	201542081.61346602	2516924.01136	1.2488329936906992	L1-117	MS1_pos	DP4	MED5.5	27.3	228.0	Mediterranean
Sep2023_conjBA_BeefDiet_036_L1-130.mzML	152739281.272984	1547902.5333699998	1.0134279279496567	L1-130	MS1_pos	DP1	MED0.5	24.7	232.0	Mediterranean
Sep2023_conjBA_BeefDiet_025_L1-105.mzML	171744933.40607	1735314.25284	1.010402006292122	L1-105	MS1_pos	DP1	MED2.5	26.1	226.0	Mediterranean
Sep2023_conjBA_BeefDiet_020_L1-16.mzML	133478474.219874	1947882.362	1.4593232155106355	L1-16	MS1_pos	DP4	MED5.5	25.3	204.0	Mediterranean
Sep2023_conjBA_BeefDiet_032_L1-138.mzML	129753074.32810201	3420707.833436	2.6363212210187617	L1-138	MS1_pos	DP3	MED2.5	27.0	234.0	Mediterranean
Sep2023_conjBA_BeefDiet_017_L1-106.mzML	180382614.908803	1585496.8148199997	0.878963205861933	L1-106	MS1_pos	DP2	MED5.5	27.0	226.0	Mediterranean
Sep2023_conjBA_BeefDiet_026_L1-120.mzML	172568499.26011598	1283013.93798	0.7434809617519401	L1-120	MS1_pos	DP2	MED5.5	26.0	229.0	Mediterranean
Sep2023_conjBA_BeefDiet_007_L1-98.mzML	118469048.880211	2292930.70006	1.935468142720111	L1-98	MS1_pos	DP3	MED5.5	23.9	224.0	Mediterranean
Sep2023_conjBA_BeefDiet_012_L1-30.mzML	128256794.96837202	2990628.21256	2.331750308665896	L1-30	MS1_pos	DP2	MED5.5	25.2	208.0	Mediterranean
Sep2023_conjBA_BeefDiet_018_L1-51.mzML	150109355.09902	2484832.2453	1.6553480252185975	L1-51	MS1_pos	DP3	MED5.5	25.7	212.0	Mediterranean
Sep2023_conjBA_BeefDiet_011_L1-47.mzML	202493044.626431	1778908.3345249998	0.8785034260346158	L1-47	MS1_pos	DP4	MED0.5	25.0	211.0	Mediterranean
Sep2023_conjBA_BeefDiet_013_L1-116.mzML	157112924.745579	2551746.02464	1.6241477451789361	L1-116	MS1_pos	DP3	MED0.5	23.8	228.0	Mediterranean
Sep2023_conjBA_BeefDiet_009_L1-143.mzML	131045963.777884	3064360.3766600005	2.338385928355588	L1-143	MS1_pos	DP1	MED5.5	26.8	236.0	Mediterranean
Sep2023_conjBA_BeefDiet_010_L1-56.mzML	126149664.14716999	1183463.01864	0.9381420288676602	L1-56	MS1_pos	DP2	MED5.5	24.3	214.0	Mediterranean
